dataset_id,source,source_revision,path,sha256,bytes,keys,dimensions,license,redistribution,split_eligibility,notes
Case1,https://github.com/gengxiangc/ResFNO,78cc9f7851725f9b4183bd7adacba01f9d025c76,external/ResFNO/data/Case1.mat,5ec5d1a879bd4a398f856206008402c0a2f7abf92fb71f890fb753ff3e88f5a3,36750736,dataA;dataT;dataTair,"{""dataA"":[200,51,223],""dataT"":[200,51,223],""dataTair"":[200,223]}",NOASSERTION,prohibited_pending_permission,complete_case_only,Pinned upstream submodule; immutable mirror under data/raw/resfno is Git-ignored.
double_hold_200_HL,https://github.com/gengxiangc/ResFNO,78cc9f7851725f9b4183bd7adacba01f9d025c76,external/ResFNO/data/double_hold_200_HL.mat,3a55c5a9155b7d9c79064f645f01ce0b675933dc1c173250aa610f8c49f7975b,34469136,dataA;dataT;dataTair,"{""dataA"":[200,21,501],""dataT"":[200,21,501],""dataTair"":[200,501]}",NOASSERTION,prohibited_pending_permission,complete_case_only,Pinned upstream submodule; immutable mirror under data/raw/resfno is Git-ignored.
p4_2d_core_v1,CD-CureNO conservative finite-volume generator,6d0b31f63428e00524a89445e9f4d7148f46d8f7,data/processed/p4_2d_core_v1,983ced5f4bcb8bfb06de88b6f17ad46dccd479932e1ae18b942e693957dbd445,917819936,temperature_K;alpha;air_temperature_K;top_h_W_m2_K;time_s;x_m;z_m;composite_mask,"{""temperature_K"":[512,112,50,40],""alpha"":[512,112,50,40],""air_temperature_K"":[512,112],""top_h_W_m2_K"":[512,40]}",NOASSERTION,not_redistributed_pending_project_license,canonical_P4_frozen_splits,SHA-256 is the canonical core manifest; pre-label plan a97511e192450a11d3af3c966bae3fd26523b3eb12b8df5728ca49b25d55b0bb; generated without public field labels.
